,Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Heatrate,CHP,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Uprate or Derate Completed During Year,Month Uprate or Derate Completed,Year Uprate or Derate Completed,Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Retirement Month,Retirement Year,plant life,Associated with Combined Heat and Power System,Sector Name,Sector,Topping or Bottoming,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Solid Fuel Gasification System?,Carbon Capture Technology?,Turbines or Hydrokinetic Buoys,Time from Cold Shutdown to Full Load,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Multiple Fuels?,Cofire Fuels?,Switch Between Oil and Natural Gas?,fuel switching
136,4254,Consumers Energy Co,1719,Thetford,MI,Genesee,7,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,17246.77211,0,17.6, ,14,17, ,N, , ,RE,X,7,1971,9,2013,42.16666667,N,Electric Utility,1,X,NG,,,,,,,,,,,, ,10M,,,,,,,,,,,0
137,4254,Consumers Energy Co,1719,Thetford,MI,Genesee,8,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,17246.77211,0,17.6, ,11,15, ,N, , ,RE,X,7,1971,9,2013,42.16666667,N,Electric Utility,1,X,NG,,,,,,,,,,,, ,10M,,,,,,,,,,,0
138,4254,Consumers Energy Co,1719,Thetford,MI,Genesee,9,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,17246.77211,0,17.6, ,12,15, ,N, , ,RE,X,7,1971,9,2013,42.16666667,N,Electric Utility,1,X,NG,,,,,,,,,,,, ,10M,,,,,,,,,,,0
139,4254,Consumers Energy Co,1720,J C Weadock,MI,Bay,A,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,14251.85185,0,18.6,0.85,13,17,2.5,N, , ,RE,X,5,1968,5,2015,47,N,Electric Utility,1,X,NG,,,,,,,,,,,, ,OVER,,,,,,,,,,,0
140,5109,DTE Electric Company,1730,Hancock,MI,Oakland,2,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,19067.23806,0,19,0.85,18,24,3,N, , ,RE,X,10,1967,12,2019,52.16666667,N,Electric Utility,1,X,NG,,,,,,,,,,N,N, ,1H,,,,,,,,N,,,0
141,5109,DTE Electric Company,1730,Hancock,MI,Oakland,4,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,19067.23806,0,19.6,0.85,17,22,3,N, , ,RE,X,4,1969,12,2019,50.66666667,N,Electric Utility,1,X,NG,,,,,,,,,,N,N, ,10M,,,,,,,,N,,,0
142,20910,Wolverine Power Supply Coop,1877,George Johnson,MI,Osceola,7,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,11576.89585,0,11, ,10.5,12.8, ,, , ,RE,X,1,1973,10,2005,32.75,N,Electric Utility,1,X,NG,,,,,,,,,,N,, ,,,,,,,,,,,,0
143,20910,Wolverine Power Supply Coop,1877,George Johnson,MI,Osceola,8,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,11576.89585,0,11, ,10.5,12.8, ,, , ,RE,X,1,1973,10,2005,32.75,N,Electric Utility,1,X,NG,,,,,,,,,,N,, ,,,,,,,,,,,,0
144,5015,Delano Municipal Utilities,1969,Delano,MN,Wright,9,Petroleum Liquids,GT,,S,X,X,,,40328.85235,0,12.5,0.8,11,12,4,N, , ,RE,X,7,2002,12,2021,19.41666667,N,Electric Utility,1,X,DFO,,,,,,,,,,N,N, ,1H,,,,,,,,N,,N,0
145,12894,City of Moorhead - (MN),1995,Moorhead,MN,Clay,6,Petroleum Liquids,GT,,S,X,X,,,22911.76471,0,10, ,5.9,7.9, ,, , ,RE,X,1,1961,7,2011,50.5,N,Electric Utility,1,X,DFO,,,,,,,,,,N,N, ,,,,,,,,,N,,,0
