,Plant ID,Combined Heat & Power Plant,Nuclear Unit I.D.,Plant Name,Operator Name,Operator ID,State,Census Region,NERC Region,Reserved ,NAICS Code,EIA Sector Number,Sector Name,Reported Prime Mover,Reported Fuel Type Code,AER Fuel Type Code,Reserved .1,Reserved .2,Physical Unit Label,QUANTITY_JAN,QUANTITY_FEB,QUANTITY_MAR,QUANTITY_APR,QUANTITY_MAY,QUANTITY_JUN,QUANTITY_JUL,QUANTITY_AUG,QUANTITY_SEP,QUANTITY_OCT,QUANTITY_NOV,QUANTITY_DEC,ELEC_QUANTITY_JAN,ELEC_QUANTITY_FEB,ELEC_QUANTITY_MAR,ELEC_QUANTITY_APR,ELEC_QUANTITY_MAY,ELEC_QUANTITY_JUN,ELEC_QUANTITY_JUL,ELEC_QUANTITY_AUG,ELEC_QUANTITY_SEP,ELEC_QUANTITY_OCT,ELEC_QUANTITY_NOV,ELEC_QUANTITY_DEC,MMBTU_PER_UNIT_JAN,MMBTU_PER_UNIT_FEB,MMBTU_PER_UNIT_MAR,MMBTU_PER_UNIT_APR,MMBTU_PER_UNIT_MAY,MMBTU_PER_UNIT_JUN,MMBTU_PER_UNIT_JUL,MMBTU_PER_UNIT_AUG,MMBTU_PER_UNIT_SEP,MMBTU_PER_UNIT_OCT,MMBTU_PER_UNIT_NOV,MMBTU_PER_UNIT_DEC,TOT_MMBTU_JAN,TOT_MMBTU_FEB,TOT_MMBTU_MAR,TOT_MMBTU_APR,TOT_MMBTU_MAY,TOT_MMBTU_JUN,TOT_MMBTU_JUL,TOT_MMBTU_AUG,TOT_MMBTU_SEP,TOT_MMBTU_OCT,TOT_MMBTU_NOV,TOT_MMBTU_DEC,ELEC_MMBTUS_JAN,ELEC_MMBTUS_FEB,ELEC_MMBTUS_MAR,ELEC_MMBTUS_APR,ELEC_MMBTUS_MAY,ELEC_MMBTUS_JUN,ELEC_MMBTUS_JUL,ELEC_MMBTUS_AUG,ELEC_MMBTUS_SEP,ELEC_MMBTUS_OCT,ELEC_MMBTUS_NOV,ELEC_MMBTUS_DEC,NETGEN_JAN,NETGEN_FEB,NETGEN_MAR,NETGEN_APR,NETGEN_MAY,NETGEN_JUN,NETGEN_JUL,NETGEN_AUG,NETGEN_SEP,NETGEN_OCT,NETGEN_NOV,NETGEN_DEC,TOTAL FUEL CONSUMPTION QUANTITY,ELECTRIC FUEL CONSUMPTION QUANTITY,TOTAL FUEL CONSUMPTION MMBTUS,ELEC FUEL CONSUMPTION MMBTUS,NET GENERATION (megawatthours),Year,Heatrate
1173,55596,N,,Arbor Hills,Gas Recovery Systems Inc,25049,MI,ENC ,RFC,,22,2,NAICS-22 Non-Cogen,CT,KER,WOO,,,barrels,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0.0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0.0,0.0,2007,-999999.0
1174,55596,N,,Arbor Hills,Gas Recovery Systems Inc,25049,MI,ENC ,RFC,,22,2,NAICS-22 Non-Cogen,CT,LFG,MLG,,,mcf,"264,199","200,584","281,703","249,964","266,242","259,295","316,098","233,004","160,058","254,391","252,007","185,395","264,199","200,584","281,703","249,964","266,242","259,295","316,098","233,004","160,058","254,391","252,007","185,395",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,"132,100","100,292","140,852","124,982","133,121","129,648","158,049","116,502","80,029","127,196","126,004","92,698","132,100","100,292","140,852","124,982","133,121","129,648","158,049","116,502","80,029","127,196","126,004","92,698","7,319","5,557","7,804","6,925","7,376","7,184","8,757","6,455","4,434","7,048","6,982","5,136","2,922,940","2,922,940","1,461,473",1461473.0,80978.0,2007,18047.77841
1175,55596,N,,Arbor Hills,Gas Recovery Systems Inc,25049,MI,ENC ,RFC,,22,2,NAICS-22 Non-Cogen,CT,OG,OOG,,,mcf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2007,-999999.0
1176,55598,N,,Pine Bend,Gas Recovery Systems Inc,25049,MN,WNC ,MRO,,22,2,NAICS-22 Non-Cogen,CA,LFG,MLG,,,mcf,"2,999","4,044","3,283","2,673","2,553","2,907","3,030","2,820","4,442","3,515","3,662","4,490","2,999","4,044","3,283","2,673","2,553","2,907","3,030","2,820","4,442","3,515","3,662","4,490",0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,"1,440","1,941","1,576","1,283","1,225","1,395","1,454","1,354","2,132","1,687","1,758","2,155","1,440","1,941","1,576","1,283","1,225","1,395","1,454","1,354","2,132","1,687","1,758","2,155","1,603","2,162","1,756","1,429","1,365","1,554","1,620","1,508","2,375","1,879","1,958","2,401","40,418","40,418","19,400",19400.0,21611.0,2007,897.6909492
1177,55598,N,,Pine Bend,Gas Recovery Systems Inc,25049,MN,WNC ,MRO,,22,2,NAICS-22 Non-Cogen,CT,DFO,DFO,,,barrels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2007,-999999.0
1178,55598,N,,Pine Bend,Gas Recovery Systems Inc,25049,MN,WNC ,MRO,,22,2,NAICS-22 Non-Cogen,CT,KER,WOO,,,barrels,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0.0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,0,0.0,0.0,2007,-999999.0
1179,55598,N,,Pine Bend,Gas Recovery Systems Inc,25049,MN,WNC ,MRO,,22,2,NAICS-22 Non-Cogen,CT,LFG,MLG,,,mcf,"121,485","163,826","133,017","108,300","103,434","117,765","122,748","114,227","179,947","142,397","148,362","181,902","121,485","163,826","133,017","108,300","103,434","117,765","122,748","114,227","179,947","142,397","148,362","181,902",0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,"58,313","78,636","63,848","51,984","49,648","56,527","58,919","54,829","86,375","68,351","71,214","87,313","58,313","78,636","63,848","51,984","49,648","56,527","58,919","54,829","86,375","68,351","71,214","87,313","3,149","4,247","3,448","2,807","2,681","3,053","3,182","2,961","4,664","3,691","3,846","4,715","1,637,410","1,637,410","785,957",785957.0,42443.0,2007,18517.94171
1180,55620,N,,Perryville Power Station,Entergy Louisiana Inc,11241,LA,WSC ,SPP,,22,1,Electric Utility,CA,NG,NG,,,mcf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2007,-999999.0
1181,55620,N,,Perryville Power Station,Entergy Louisiana Inc,11241,LA,WSC ,SPP,,22,1,Electric Utility,CT,NG,NG,,,mcf,"932,619","833,410","1,507,476","1,981,387","949,347","1,337,394","1,355,862","2,327,264","1,620,630","1,059,465","2,035,232","2,063,890","932,619","833,410","1,507,476","1,981,387","949,347","1,337,394","1,355,862","2,327,264","1,620,630","1,059,465","2,035,232","2,063,890",1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.02,1.02,1.03,1.03,1.01,"959,665","858,412","1,554,208","2,044,791","975,929","1,373,504","1,391,114","2,380,791","1,657,904","1,088,071","2,086,113","2,074,209","959,665","858,412","1,554,208","2,044,791","975,929","1,373,504","1,391,114","2,380,791","1,657,904","1,088,071","2,086,113","2,074,209","120,202","116,605","200,214","267,146","129,243","177,392","184,689","320,169","217,111","144,512","287,203","286,365","18,003,976","18,003,976","18,444,711",18444711.0,2450851.0,2007,7525.839392
1182,55641,N,,Riverside Energy Center,Rock River Energy LLC,16204,WI,ENC ,MRO,,22,2,NAICS-22 Non-Cogen,CA,DFO,DFO,,,barrels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2007,-999999.0
